2.2374,0.41673,0.93884,0.18207,1
1.9606,0.3602,0.96705,0.06685,1
2.2575,0.26327,0.94432,0.11291,1
2.8445,0.18473,0.93518,0.14592,1
2.8568,0.20467,0.94412,0.17964,1
3.7006,0.10037,0.85929,0.37948,2
3.1202,0.17469,0.90895,0.26603,2
3.748,0.11434,0.83313,0.60981,2
3.1771,0.17459,0.88099,0.40887,2
3.5169,0.13102,0.88164,0.3556,2
3.2474,0.13963,0.83995,0.35018,3
2.6489,0.2696,0.92326,0.17074,3
3.1342,0.21966,0.87228,0.41387,3
3.1002,0.17127,0.87876,0.30117,3
2.7246,0.23012,0.93614,0.14067,3
3.4001,0.14945,0.86445,0.49695,4
3.5492,0.1505,0.8558,0.62082,4
2.9138,0.22171,0.89209,0.25596,4
3.0498,0.20259,0.81632,0.44647,4
2.5635,0.38514,0.86373,0.71592,4
3.2128,0.17004,0.90176,0.33033,5
2.8352,0.20689,0.92884,0.21894,5
3.6729,0.15274,0.80355,0.7527,5
2.4206,0.32668,0.93734,0.14716,5
2.7669,0.20844,0.92373,0.22635,5
